epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,6201.76,0.60229,0.37255,0.78363,0.99988,1,0.995,0.88773,0.54501,0.41524,0.82784,0.001571,0.001571,0.001571
67,6296.52,0.59071,0.36456,0.78281,0.99979,1,0.995,0.87469,0.58872,0.44247,0.82902,0.0015644,0.0015644,0.0015644
68,6391.24,0.58845,0.35925,0.77095,0.99989,1,0.995,0.89206,0.53781,0.39283,0.82731,0.0015578,0.0015578,0.0015578
69,6485.67,0.56985,0.35524,0.77058,0.99988,1,0.995,0.8833,0.55262,0.41479,0.82233,0.0015512,0.0015512,0.0015512
70,6576.49,0.56958,0.35163,0.76991,0.99977,1,0.995,0.87983,0.54122,0.37198,0.82659,0.0015446,0.0015446,0.0015446
71,6668.28,0.57268,0.35532,0.76452,0.99965,1,0.995,0.8717,0.60072,0.48325,0.8305,0.001538,0.001538,0.001538
72,6760.31,0.58326,0.35775,0.78082,0.99989,1,0.995,0.85243,0.63407,0.43142,0.83724,0.0015314,0.0015314,0.0015314
73,6854.2,0.58114,0.35476,0.76441,0.99985,1,0.995,0.87323,0.58363,0.39564,0.82491,0.0015248,0.0015248,0.0015248
74,6947.58,0.58251,0.36566,0.77336,0.99985,1,0.995,0.87457,0.5628,0.41038,0.82508,0.0015182,0.0015182,0.0015182
75,7039.3,0.5938,0.36467,0.77931,0.99977,1,0.995,0.86722,0.58956,0.40434,0.82975,0.0015116,0.0015116,0.0015116
76,7132.86,0.58553,0.36297,0.77909,0.99989,1,0.995,0.89085,0.51811,0.36555,0.81669,0.001505,0.001505,0.001505
77,7227.73,0.57773,0.35165,0.77385,0.99972,1,0.995,0.85855,0.59705,0.38944,0.83033,0.0014984,0.0014984,0.0014984
78,7321.81,0.57852,0.34956,0.76347,0.9996,1,0.995,0.88392,0.55186,0.38902,0.82518,0.0014918,0.0014918,0.0014918
79,7415.68,0.56145,0.34854,0.76651,0.99981,1,0.995,0.88354,0.54434,0.44965,0.81943,0.0014852,0.0014852,0.0014852
80,7507.45,0.57655,0.35949,0.77912,0.99989,1,0.995,0.88746,0.53592,0.35571,0.82196,0.0014786,0.0014786,0.0014786
81,7598.76,0.6014,0.35993,0.78536,0.99975,1,0.995,0.86328,0.62597,0.45034,0.83111,0.001472,0.001472,0.001472
82,7689.87,0.56933,0.34648,0.7601,0.99988,1,0.995,0.88204,0.54834,0.3632,0.8238,0.0014654,0.0014654,0.0014654
83,7784.43,0.58125,0.35694,0.77629,0.99987,1,0.995,0.86634,0.58178,0.44922,0.82412,0.0014588,0.0014588,0.0014588
84,7878.64,0.56583,0.3472,0.76999,0.9999,1,0.995,0.88693,0.53989,0.38942,0.8203,0.0014522,0.0014522,0.0014522
85,7972.58,0.5444,0.34341,0.75709,0.99981,1,0.995,0.88132,0.5518,0.44665,0.82114,0.0014456,0.0014456,0.0014456
86,8067.31,0.55231,0.34293,0.77261,0.99981,1,0.995,0.88875,0.53783,0.36516,0.82269,0.001439,0.001439,0.001439
87,8163.02,0.53209,0.34271,0.76523,0.99978,1,0.995,0.89518,0.51339,0.34775,0.81343,0.0014324,0.0014324,0.0014324
88,8258.74,0.56613,0.36117,0.76915,0.99976,1,0.995,0.86122,0.61101,0.40961,0.83689,0.0014258,0.0014258,0.0014258
89,8353.92,0.56004,0.34682,0.75925,0.99986,1,0.995,0.89389,0.52682,0.3746,0.81714,0.0014192,0.0014192,0.0014192
90,8449.41,0.53658,0.34371,0.78111,0.99987,1,0.995,0.88838,0.53301,0.37073,0.81865,0.0014126,0.0014126,0.0014126
91,8543.86,0.52329,0.32804,0.74653,0.99986,1,0.995,0.89451,0.53099,0.41211,0.81869,0.001406,0.001406,0.001406
92,8639.66,0.56062,0.34769,0.77098,0.99969,1,0.995,0.88568,0.55895,0.38439,0.82256,0.0013994,0.0013994,0.0013994
93,8733.89,0.57282,0.35344,0.76467,0.99973,1,0.995,0.86522,0.55876,0.45074,0.8249,0.0013928,0.0013928,0.0013928
94,8829.28,0.56994,0.35034,0.77558,0.9999,1,0.995,0.89321,0.52445,0.36964,0.81653,0.0013862,0.0013862,0.0013862
95,8924.32,0.53917,0.33264,0.76321,0.99978,1,0.995,0.8758,0.57895,0.45413,0.824,0.0013796,0.0013796,0.0013796
96,9019.15,0.53684,0.33387,0.75508,0.99989,1,0.995,0.87943,0.55364,0.35299,0.8209,0.001373,0.001373,0.001373
97,9114.11,0.54349,0.33008,0.76033,0.9999,1,0.995,0.89908,0.48931,0.37422,0.8124,0.0013664,0.0013664,0.0013664
98,9208.5,0.50343,0.31922,0.74652,0.99983,1,0.995,0.89346,0.51779,0.36893,0.81294,0.0013598,0.0013598,0.0013598
99,9304.28,0.52623,0.31931,0.7567,0.99978,1,0.995,0.88311,0.53574,0.42622,0.82269,0.0013532,0.0013532,0.0013532
100,9399.15,0.53811,0.33747,0.77036,0.99986,1,0.995,0.89792,0.49322,0.36546,0.81357,0.0013466,0.0013466,0.0013466
101,9494.13,0.52033,0.3227,0.75405,0.9998,1,0.995,0.90159,0.50467,0.35483,0.81265,0.00134,0.00134,0.00134
102,9588.71,0.55477,0.34558,0.77112,0.9999,1,0.995,0.89062,0.51547,0.37151,0.81472,0.0013334,0.0013334,0.0013334
103,9683.43,0.54094,0.34273,0.76862,0.99988,1,0.995,0.88837,0.54062,0.38029,0.81944,0.0013268,0.0013268,0.0013268
104,9777.19,0.52936,0.3258,0.75767,0.99987,1,0.995,0.89699,0.50642,0.37707,0.81192,0.0013202,0.0013202,0.0013202
105,9871.83,0.53899,0.33828,0.7562,0.99988,1,0.995,0.90782,0.48448,0.33785,0.8106,0.0013136,0.0013136,0.0013136
106,9967.45,0.52522,0.32956,0.77197,0.99985,1,0.995,0.9049,0.4861,0.35238,0.81011,0.001307,0.001307,0.001307
107,10063,0.51275,0.31684,0.75149,0.99937,1,0.995,0.88643,0.52672,0.39255,0.81492,0.0013004,0.0013004,0.0013004
108,10157.8,0.51902,0.32566,0.75797,0.99982,1,0.995,0.89392,0.50648,0.34158,0.81404,0.0012938,0.0012938,0.0012938
109,10252.4,0.53688,0.33084,0.75897,0.99991,1,0.995,0.89465,0.50644,0.37581,0.81168,0.0012872,0.0012872,0.0012872
110,10347.7,0.51385,0.32222,0.75164,0.99983,1,0.995,0.89069,0.51273,0.3513,0.8133,0.0012806,0.0012806,0.0012806
111,10443,0.53048,0.32538,0.75278,0.99993,1,0.995,0.90664,0.48589,0.36517,0.81313,0.001274,0.001274,0.001274
112,10537.8,0.50909,0.31373,0.76203,0.99989,1,0.995,0.90245,0.4963,0.34285,0.80876,0.0012674,0.0012674,0.0012674
113,10629.3,0.51415,0.31878,0.76263,0.99988,1,0.995,0.91928,0.47189,0.35151,0.80914,0.0012608,0.0012608,0.0012608
114,10722.7,0.52231,0.32762,0.75803,0.99965,1,0.995,0.90247,0.48856,0.36956,0.80784,0.0012542,0.0012542,0.0012542
115,10817.2,0.53038,0.32832,0.73775,0.99982,1,0.995,0.89664,0.53417,0.36953,0.81636,0.0012476,0.0012476,0.0012476
116,10912.3,0.52588,0.32616,0.77288,0.99988,1,0.995,0.92205,0.45276,0.30889,0.80715,0.001241,0.001241,0.001241
117,11006.6,0.53208,0.32952,0.76814,0.9999,1,0.995,0.9047,0.49384,0.35939,0.80928,0.0012344,0.0012344,0.0012344
118,11100.4,0.54032,0.32844,0.78185,0.99988,1,0.995,0.9064,0.48483,0.33699,0.80904,0.0012278,0.0012278,0.0012278
119,11191.9,0.53685,0.33524,0.77473,0.99988,1,0.995,0.89287,0.51731,0.37812,0.81307,0.0012212,0.0012212,0.0012212
120,11283,0.50527,0.3139,0.74507,0.9999,1,0.995,0.91358,0.47508,0.34651,0.8093,0.0012146,0.0012146,0.0012146
121,11376.4,0.53831,0.33415,0.77597,0.99991,1,0.995,0.90144,0.48886,0.33553,0.81118,0.001208,0.001208,0.001208
122,11471.4,0.52059,0.31637,0.76651,0.99982,1,0.995,0.90285,0.49334,0.34618,0.8098,0.0012014,0.0012014,0.0012014
123,11562.5,0.49871,0.30842,0.74624,0.99992,1,0.995,0.90951,0.48056,0.33425,0.80924,0.0011948,0.0011948,0.0011948
124,11656.1,0.48327,0.3054,0.73752,0.99983,1,0.995,0.91537,0.4709,0.32713,0.8071,0.0011882,0.0011882,0.0011882
125,11751,0.48761,0.30192,0.73821,0.99984,1,0.995,0.90662,0.49588,0.32896,0.81126,0.0011816,0.0011816,0.0011816
126,11846.9,0.50037,0.31316,0.74612,0.99966,1,0.995,0.89372,0.51045,0.39376,0.81347,0.001175,0.001175,0.001175
127,11941.9,0.50697,0.31763,0.74833,0.99987,1,0.995,0.90098,0.49552,0.3285,0.8099,0.0011684,0.0011684,0.0011684
128,12036.8,0.48248,0.30403,0.75281,0.99976,1,0.995,0.9167,0.46028,0.35134,0.80476,0.0011618,0.0011618,0.0011618
129,12132.4,0.46792,0.29736,0.74029,0.9999,1,0.995,0.92024,0.46192,0.3043,0.8104,0.0011552,0.0011552,0.0011552
130,12227.8,0.49282,0.303,0.73899,0.99989,1,0.995,0.91512,0.4696,0.32992,0.80771,0.0011486,0.0011486,0.0011486
131,12322.3,0.4718,0.30122,0.74251,0.99991,1,0.995,0.91642,0.46134,0.32017,0.80699,0.001142,0.001142,0.001142
132,12416.6,0.50691,0.31835,0.76571,0.99987,1,0.995,0.89822,0.49404,0.33663,0.80998,0.0011354,0.0011354,0.0011354
133,12512.1,0.51019,0.31763,0.75381,0.99983,1,0.995,0.90759,0.49546,0.33289,0.80769,0.0011288,0.0011288,0.0011288
134,12607.9,0.50973,0.322,0.7681,0.99992,1,0.995,0.91489,0.4685,0.31684,0.80657,0.0011222,0.0011222,0.0011222
135,12703.2,0.51711,0.31932,0.75435,0.99986,1,0.995,0.89342,0.54897,0.37033,0.81307,0.0011156,0.0011156,0.0011156
136,12798.3,0.5136,0.31072,0.75277,0.99986,1,0.995,0.91186,0.49134,0.35667,0.80717,0.001109,0.001109,0.001109
