epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,7903.42,-10.8241,0.27839,0.74028,0.99984,1,0.995,0.9324,-10.8269,0.28338,0.79703,0.000911,0.000911,0.000911
68,8019.37,-10.8304,0.27098,0.72803,0.99984,1,0.995,0.94768,-10.8542,0.25803,0.7962,0.0008945,0.0008945,0.0008945
69,8136.62,-10.8376,0.26899,0.73035,0.99992,1,0.995,0.93746,-10.8453,0.27,0.79481,0.000878,0.000878,0.000878
70,8256.9,-10.827,0.26987,0.73351,0.99992,1,0.995,0.94917,-10.8669,0.26456,0.79305,0.0008615,0.0008615,0.0008615
71,8377.53,-10.8319,0.26673,0.72681,0.99991,1,0.995,0.92862,-10.8202,0.28113,0.79632,0.000845,0.000845,0.000845
72,8497.93,-10.8444,0.26332,0.7389,0.99985,1,0.995,0.94467,-10.8571,0.26418,0.79228,0.0008285,0.0008285,0.0008285
73,8616.71,-10.8344,0.26652,0.72295,0.99993,1,0.995,0.93798,-10.8564,0.26855,0.7922,0.000812,0.000812,0.000812
74,8732.67,-10.8311,0.27211,0.73595,0.99993,1,0.995,0.94755,-10.8653,0.26956,0.79175,0.0007955,0.0007955,0.0007955
75,8848.08,-10.8288,0.26298,0.73353,0.99992,1,0.995,0.93341,-10.8318,0.27826,0.79536,0.000779,0.000779,0.000779
76,8963.93,-10.8187,0.27298,0.73763,0.99993,1,0.995,0.94232,-10.8498,0.26085,0.79216,0.0007625,0.0007625,0.0007625
77,9084.37,-10.8434,0.26319,0.73352,0.99993,1,0.995,0.95076,-10.8725,0.24922,0.79093,0.000746,0.000746,0.000746
78,9201.96,-10.8444,0.26312,0.72367,0.99993,1,0.995,0.94764,-10.8588,0.25863,0.79294,0.0007295,0.0007295,0.0007295
79,9319.18,-10.8316,0.26665,0.72989,0.99993,1,0.995,0.92801,-10.8149,0.27229,0.79548,0.000713,0.000713,0.000713
80,9435.16,-10.8209,0.27173,0.74591,0.99993,1,0.995,0.94099,-10.8583,0.25562,0.79291,0.0006965,0.0006965,0.0006965
